station_id,region,station_name,address,latitude,longitude,phone,source_date
nfa-0985,서울,강남소방서,서울특별시 강남구 테헤란로 629(삼성동),37.5102929,127.06684,02-553-3315,2024-09-01
nfa-0909,서울,강동소방서,서울특별시 강동구 성내로 39(성내동),37.5292678,127.1249082,02-470-0119,2024-09-01
nfa-0920,서울,강북소방서,서울특별시 강북구 한천로 911,37.6330512,127.0381809,02-6946-0119,2024-09-01
nfa-0884,서울,강서소방서,서울특별시 강서구 양천로 550(등촌동),37.5579833,126.860275,02-3663-0119,2024-09-01
nfa-0888,서울,관악소방서,서울특별시 관악구 관악로 97(봉천동),37.4739307,126.9523141,02-874-8119,2024-09-01
nfa-0791,서울,광진소방서,서울특별시 광진구 광나루로 480(구의동),37.5448242,127.0827646,02-457-0119,2024-09-01
nfa-0886,서울,구로소방서,서울특별시 구로구 경인로 408(고척동),37.4978258,126.8652844,02-2618-0119,2024-09-01
nfa-0830,서울,노원소방서,서울특별시 노원구 한글비석로 1길 8(하계동),37.6381043,127.0711604,02-977-0119,2024-09-01
nfa-0845,서울,도봉소방서,서울특별시 도봉구 도봉로 666(방학동),37.6639821,127.0430125,02-3492-3437,2024-09-01
nfa-0929,서울,동대문소방서,서울특별시 동대문구 장한로 34(장안동),37.5640037,127.0666254,02-2249-0119,2024-09-01
nfa-0780,서울,동작소방서,서울특별시 동작구 여의대방로16길 55(신대방동),37.4946106,126.9176919,02-847-1190,2024-09-01
nfa-0871,서울,마포소방서,서울특별시 마포구 창전로 76(신수동),37.5494864,126.9331869,02-716-0604,2024-09-01
nfa-0785,서울,서대문소방서,서울특별시 서대문구 연희로 182(연희동),37.5732196,126.9360289,02-3144-1190,2024-09-01
nfa-0892,서울,서초소방서,서울특별시 서초구 사평대로 67(반포동),37.498466,126.9919369,02-537-0119,2024-09-01
nfa-0887,서울,성동소방서,서울특별시 성동구 살곶이길 331(행당동),37.5537157,127.0394565,02-2622-1777,2024-09-01
nfa-0924,서울,성북소방서,서울특별시 성북구 종암로 27길 3(종암동),37.6024303,127.031753,02-921-0119,2024-09-01
nfa-0793,서울,송파소방서,서울특별시 송파구 오금로51길 56(마천동),37.4998433,127.1425984,02-403-2119,2024-09-01
nfa-0810,서울,양천소방서,서울특별시 양천구 목동서로 180(목동),37.5302527,126.8723636,02-2655-1119,2024-09-01
nfa-0974,서울,영등포소방서,서울특별시 영등포구 문래로 197(영등포동4가),37.5184377,126.9042001,02-2675-0119,2024-09-01
nfa-0850,서울,용산소방서,서울특별시 용산구 한강대로 167(한강로2가),37.5341021,126.971495,02-794-0119,2024-09-01
nfa-0827,서울,은평소방서,서울특별시 은평구 통일로 962(진관동),37.62896,126.920145,02-355-0119,2024-09-01
nfa-0831,서울,종로소방서,서울특별시 종로구 종로1길 28(수송동),37.5728428,126.9789142,02-735-6119,2024-09-01
nfa-0983,서울,중랑소방서,서울특별시 중랑구 신내로 183(신내동),37.6153993,127.0948903,02-3423-0119,2024-09-01
nfa-0904,서울,중부소방서,서울특별시 중구 퇴계로 394(무학동),37.5648732,127.0153884,02-2234-0119,2024-09-01
nfa-0852,부산,강서소방서,부산광역시 강서구 녹산산단361로 9(송정동),35.0896166,128.8567949,051-760-5080,2024-09-01
