화학물질_한글명,울산_출현건수,CHEM_SBSTN_ENG_NM,CAS_NO,UN_MNG_NO,RDTMP_STTS_NM,SBSTN_COLR_NM,SMELL_SPCQLT_NM,유별_위험물분류
경유,190,Diesel,68334-30-5,,액체(점성액),갈색,"특이한 냄새 ***취기한계


0.7 ppm",
휘발유(가솔린),58,Gasoline,8006-61-9,1203.0,액체,무색| 갈색| 주황색| 붉은색| 노란색/투명,"특이한 냄새


***취기한계


0.25ppm",
메탄올,53,Methanol,67-56-1,1230.0,액체,무색,알코올 냄새,
황산,48,Sulfuric acid,7664-93-9,1830.0,액체,무색,무취이나 뜨겨워지면 숨막히는 냄새가 남,
벙커C유,45,B-C,68476-33-5,,,,,
벤젠,45,Benzene,71-43-2,1114.0,액체,맑은 무색 또는 담황색,이상한 또는 특유의 악취| 휘발유와 유사한 냄새,
폴리테트라하이드로퓨란,44,,,,,,,
에틸 알코올,42,Ethyl alcohol,64-17-5,1170.0,액체(유동액),무색,와인이나 위스키향| 희미한 포도주향,
VAM,41,VAM,,,,,,
자일렌,34,Xylene,1330-20-7,1307.0,액체,무색,이상한 악취,
등유,33,Kerosene,8008-20-6,1223.0,액체(점성),무색| 노란색/투명,특이하지만 불쾌하지만은 않은 냄새| T석유냄새,
아세톤,33,Acetone,67-64-1,1090.0,액체,무색,과일 냄새,
에틸렌 글리콜,32,Ethylene glycol,107-21-1,3082.0,액체(시럽) 또는 고체(-12.7C 이하),무색,무취,
열매체오일,31,THF,"Diphenyl ether, vapor (CAS no. 101-84-8), Biphenyl (CAS no. 92-52-4)",,,무색 투명한 액체,제품특유의 냄새,
톨루엔,31,Toluene,108-88-3,1294.0,액체,무색투명,자극성 냄새,
폴리프로필렌,30,Polypropylene,9003-07-0,,고체,흰색,무취,
윤활유,28,Mobil DTE OIL,68476-77-7,,,,,
폐유(유압작동유| 기계유| 기타),25,Supervis AW32| Mobile 629,"64742-54-7, 68037-01-4",,,,,
글리세린(글리세롤),24,Glycerine(Glycerol),56-81-5,,액체(시럽)| 고체(17.77C이하),무색/투명,무취| 순한 냄새,
노르말 헥산,24,n-Hexane,110-54-3,1208.0,액체(매우 휘발성 좋음),무색,가솔린과 유사한 냄새,
프로필렌,24,Propylene,115-07-1,1077.0,기체,무색,아로마 냄새,
유황| 용융,23,Sulphur| molten,7704-34-9,1350.0,고체(결정| 분말)| 액체,갈색| 주황색| 붉은색| 노란색/불투명,순수한 황은 무취| 탄화수소계의 불순물은 썩은 달걀 냄새,
원유,23,Crude Oil,8002-05-09,,,,,
수산화나트륨,22,Sodium hydroxide,1310-73-2,1823.0,고체,백색,무취,
수소,21,Hydrogen,1333-74-0,,기체,무색,무취,
SONGNOX 2.4 DTBP,20,2|6-DI-TERT-BUTYLPHENOL,128-39-2,,,,,
SONGNOX 1680,19,,31570-04-4,,,,,
아크릴아미드,19,Acrylamide,1979-06-01,2074.0,고체(박편형 결정),백색,무취 또는 특징적 냄새,
삼불화 질소,16,Nitrogen trifluoride,7783-54-2,2451.0,기체,무색,곰팡이 냄새,
염화수소,15,Hydrogen chloride,7647-01-0,1789.0,액체(액화가스),무색,자극성 악취,
에피클로로히드린,15,Epichlorohydrin,106-89-8,2023.0,액체,무색,달콤한 냄새| 자극성 악취,
암모니아,15,Ammonia,7664-41-7,1005.0,기체 또는 액체(액화가스),무색,자극성 악취,
디에틸렌 글리콜,14,Diethylene glycol,111-46-6,8027.0,액체(시럽),무색,무취,
