reportYear,bplcId,bplcNm,locplcAdres,induty,matterNm,casNo,ctprvnCdRmate,signguCdRmate
2024,ABB312N,  효성화학(주)용연2공장,울산광역시 남구 처용로487번길 65 효성화학(주)용연2공장,석탄화학계 화합물 및 기타 기초 유기화학 물질 제조업,황산,7664-93-9,울산광역시,남구
2024,ABB383N, 에이치에스효성첨단소재(주) 울산공장,울산광역시 남구 납도로 30 효성첨단소재(주) 울산공장,그 외 기타 분류 안된 섬유제품 제조업,황산,7664-93-9,울산광역시,남구
2024,AAK420N,(주)LG생활건강,울산광역시 울주군 온산읍 이진로 19 (주)LG생활건강,계면활성제 제조업,황산,7664-93-9,울산광역시,울주군
2024,AAK422N,(주)LX하우시스 울산공장,울산광역시 울주군 온양읍 덕망로 275 (주)LX하우시스 울산공장,벽 및 바닥 피복용 플라스틱 제품 제조업,황산,7664-93-9,울산광역시,울주군
2024,AAW263N,(주)금정,울산광역시 울주군 삼남면 가천금사길 208-13 (주)금정,그 외 기타 분류 안된 화학제품 제조업,황산,7664-93-9,울산광역시,울주군
2024,ABQ236N,(주)네오 2공장,울산광역시 울주군 온산읍 우봉강양로 3-92 (주)네오2공장,석유화학계 기초 화학 물질 제조업,황산,7664-93-9,울산광역시,울주군
2024,AAK446N,(주)대원에스앤피,울산광역시 북구 효암로 84-13 (명촌동),기타 구조용 금속제품 제조업,황산,7664-93-9,울산광역시,북구
2024,AAK465N,(주)동신화학,울산광역시 남구 처용로 688 ,석탄화학계 화합물 및 기타 기초 유기화학 물질 제조업,황산,7664-93-9,울산광역시,남구
2024,ABO205N,(주)디엔오토모티브 울산1공장,울산광역시 울주군 온산읍 처용산업2길 12 (주)디티알오토모티브,축전지 제조업,황산,7664-93-9,울산광역시,울주군
2024,ABY970N,(주)디엔오토모티브 울산2공장,울산광역시 울주군 온산읍 화산2길 20 (주)디티알오토모티브 울산2공장,축전지 제조업,황산,7664-93-9,울산광역시,울주군
2024,ABP660N,(주)무학 울산공장,울산광역시 울주군 삼남면 반구대로 716 (주)무학 울산공장,소주 제조업,황산,7664-93-9,울산광역시,울주군
2024,AAK477N,(주)보광울산공장,울산광역시 남구 여천로217번길 3 (주)보광 울산공장,"염료, 조제 무기 안료, 유연제 및 기타 착색제 제조업",황산,7664-93-9,울산광역시,남구
2024,AAP769N,(주)부승화학,울산광역시 울주군 온산읍 회학3길 28 (학남리)(주)부승화학 ,기타 기초 무기화학 물질 제조업,황산,7664-93-9,울산광역시,울주군
2024,ABQ080N,(주)비봉케미칼,울산광역시 울주군 온산읍 화산로 219 (주)비봉케미칼,기타 기초 무기화학 물질 제조업,황산,7664-93-9,울산광역시,울주군
2024,AAQ553N,(주)삼산케미칼,울산광역시 울주군 웅촌면 은현공단1길 24-2 삼산케미칼(주),그 외 기타 분류 안된 화학제품 제조업,황산,7664-93-9,울산광역시,울주군
2024,AAK488N,(주)삼양사 울산1공장,울산광역시 남구 장생포로 285 (주)삼양사 울산1공장,설탕 제조업,황산,7664-93-9,울산광역시,남구
2024,ABI409N,(주)스탠다드그래핀,"울산광역시 중구 종가로 15 (다운동, 울산테크노파크) 정밀화학소재기술연구소 413호",기타 기초 무기화학 물질 제조업,황산,7664-93-9,울산광역시,중구
2024,ABO330N,(주)스탠다드그래핀 웅촌공장,울산광역시 울주군 웅촌면 은현공단2길 30 (주)스탠다드그래핀 웅촌공장,기타 기초 무기화학 물질 제조업,황산,7664-93-9,울산광역시,울주군
2024,ABR344N,(주)신솔화학,울산광역시 남구 신화로 101 (야음동),기타 화학 물질 및 화학제품 도매업,황산,7664-93-9,울산광역시,남구
2024,AAK518N,(주)에코솔루텍,울산광역시 울주군 삼남면 가천금사길 230-8 (주)에코솔루텍,기타 기초 무기화학 물질 제조업,황산,7664-93-9,울산광역시,울주군
2024,ABC338N,(주)엘지화학 온산공장,울산광역시 울주군 온산읍 이진로 19 (주)엘지화학 온산공장,화학 살균ㆍ살충제 및 농업용 약제 제조업,황산,7664-93-9,울산광역시,울주군
2024,ABC545N,(주)영풍 석포제련소,울산광역시 울주군 온산읍 이진로 204-7 (주)영풍 석포제련소,"연 및 아연 제련, 정련 및 합금 제조업",황산,7664-93-9,울산광역시,울주군
2024,AAK525N,(주)오성기업,울산광역시 울주군 온산읍 회학3길 10 (주)오성기업,기타 기초 무기화학 물질 제조업,황산,7664-93-9,울산광역시,울주군
2024,AAZ360N,(주)워켐,울산광역시 울주군 온산읍 회학3길 56-11 ,그 외 기타 분류 안된 화학제품 제조업,황산,7664-93-9,울산광역시,울주군
2024,ABJ239N,(주)유니드,울산광역시 남구 상개로 142 (주)유니드,기타 기초 무기화학 물질 제조업,황산,7664-93-9,울산광역시,남구
2024,ACJ192N,(주)유니큰,울산광역시 남구 용잠로 343 (용잠동) (주)유니큰 ,지정 폐기물 처리업,황산,7664-93-9,울산광역시,남구
2024,AAK537N,(주)유니큰 온산공장,울산광역시 울주군 온산읍 원산로 59 (주)유니큰 온산공장,지정 폐기물 처리업,황산,7664-93-9,울산광역시,울주군
2024,AEL812N,(주)이수스페셜티케미컬 온산공장,울산광역시 울주군 온산읍 석당길 8 주식회사 이수스페셜티케미컬,기타 기초 무기화학 물질 제조업,황산,7664-93-9,울산광역시,울주군
2024,AAK872N,(주)이수화학 울산공장,울산광역시 남구 사평로 108-224 (부곡동),그 외 기타 분류 안된 화학제품 제조업,황산,7664-93-9,울산광역시,남구
2024,AAK547N,(주)정일스톨트헤븐울산,울산광역시 울주군 온산읍 산암로 297 ,위험 물품 보관업,황산,7664-93-9,울산광역시,울주군
2024,AAW286N,(주)제이엠씨,울산광역시 울주군 온산읍 이진로 71 (주)제이엠씨,그 외 기타 분류 안된 화학제품 제조업,황산,7664-93-9,울산광역시,울주군
2024,AAK548N,(주)제일화성,울산광역시 울주군 온산읍 회학3길 38-16 울산광역시 울주군 회학3길 38-16 (온산읍),그 외 기타 분류 안된 화학제품 제조업,황산,7664-93-9,울산광역시,울주군
2024,AAU171N,(주)코리아에어텍 온산공장,울산광역시 울주군 온산읍 온산로 134 ,산업용 가스 제조업,황산,7664-93-9,울산광역시,울주군
2024,ABC358N,(주)팜한농 울산공장,울산광역시 남구 납도로 156 (주)팜한농 울산공장,복합비료 및 기타 화학비료 제조업,황산,7664-93-9,울산광역시,남구
2024,AAK572N,(주)풍산울산사업장,울산광역시 울주군 온산읍 산암로 94 (주)풍산 울산사업장,"동 압연, 압출 및 연신제품 제조업",황산,7664-93-9,울산광역시,울주군
2024,AAK574N,(주)피엔티,울산광역시 울주군 온산읍 산암로 94 (주)피엔티,도금업,황산,7664-93-9,울산광역시,울주군
2024,AAK427N,(주)하트,울산광역시 울주군 상북면 길천산업로 51 (주)하트,도장 및 기타 피막 처리업,황산,7664-93-9,울산광역시,울주군
2024,AAK583N,(주)한솔케미칼울산공장,울산광역시 남구 납도로 116 (주)한솔케미칼울산공장,기타 기초 무기화학 물질 제조업,황산,7664-93-9,울산광역시,남구
